Epoch,Accuracy,Recall,Precision,F-score
0,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
1,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
2,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
3,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
4,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
5,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
6,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
7,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
8,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
9,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
10,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
11,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
12,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
13,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
14,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
15,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
16,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
17,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
18,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
19,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
20,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
21,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
22,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
23,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
24,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
25,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
26,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
27,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
28,0.3212121212121212,0.3128834355828221,1.0,0.47663551401869164
29,0.3090909090909091,0.3090909090909091,1.0,0.4722222222222222
